Year,type,school,loan,enroll,loanavg,tuition
2010,2,Avila University,0,1151,0,31600
2011,2,Avila University,8393465,1222,6869,32794
2012,2,Avila University,8210563,1219,6735,35106
2013,2,Avila University,9033435,1325,6818,35156
2014,2,Avila University,9511453,1401,6789,36414
2010,2,Baptist Bible College,0,481,0,22750
2011,2,Baptist Bible College,1911935,462,4138,15640
2012,2,Baptist Bible College,1849054,420,4403,15960
2013,2,Baptist Bible College,1473269,321,4590,16730
2014,2,Baptist Bible College,1300868,305,4265,17630
2010,2,Central Methodist University,266919,1051,254,28860
2011,2,Central Methodist University,11187996,1176,9514,29680
2012,2,Central Methodist University,12404690,1172,10584,30860
2013,2,Central Methodist University,14668635,1173,12505,32000
2014,2,Central Methodist University,14817004,1107,13385,32970
2010,2,Columbia College,4136879,14705,281,2998
2011,2,Columbia College,95739699,16075,5956,22330
2012,2,Columbia College,104557263,17229,6069,21580
2013,2,Columbia College,104326483,16940,6159,22237
2014,2,Columbia College,94550420,15998,5910,21833
2010,2,Cottey College,0,309,0,22200
2011,2,Cottey College,938292,307,3056,23100
2012,2,Cottey College,1154824,323,3575,24115
2013,2,Cottey College,1204455,292,4125,2665
2014,2,Cottey College,1107052,277,3997,27850
2010,1,Crowder College,0,4482,0,9423
2011,1,Crowder College,6650595,5219,1274,9553
2012,1,Crowder College,6569981,5407,1215,9734
2013,1,Crowder College,6404890,5576,1149,9707
2014,1,Crowder College,6187745,5845,1059,10423
2010,2,Culver-Stockton College,4239406,754,5623,33730
2011,2,Culver-Stockton College,4662471,771,6047,33730
2012,2,Culver-Stockton College,4379856,752,5824,33930
2013,2,Culver-Stockton College,4750204,769,6177,33930
2014,2,Culver-Stockton College,5313118,830,6401,34952
2010,2,Drury University,242898,4971,49,29869
2011,2,Drury University,21325891,5092,4188,31202
2012,2,Drury University,21635426,4885,4429,32909
2013,2,Drury University,19738987,4775,4134,34175
2014,2,Drury University,19219972,4231,4543,34719
2010,2,Evangel University,15972,1735,9,27830
2011,2,Evangel University,10561862,1770,5967,31820
2012,2,Evangel University,11667765,1897,6151,30706
2013,2,Evangel University,11367945,1879,6050,30988
2014,2,Evangel University,12327699,2077,5935,32183
2010,2,Fontbonne University,5662618,1943,2914,30475
2011,2,Fontbonne University,12509808,1689,7407,31560
2012,2,Fontbonne University,9562319,1500,6375,32290
2013,2,Fontbonne University,7951078,1342,5925,32290
2014,2,Fontbonne University,7068384,1328,5323,33896
2010,2,Hannibal-LaGrange University,378903,1022,371,24620
2011,2,Hannibal-LaGrange University,4898414,1176,4165,25266
2012,2,Hannibal-LaGrange University,5201724,1151,4519,26344
2013,2,Hannibal-LaGrange University,5464757,1208,4524,27842
2014,2,Hannibal-LaGrange University,4722449,1198,3942,29258
2010,3,Hickey College,383231,480,798,25380
2011,3,Hickey College,4166447,461,9038,26282
