id,name,type,loans10,enroll10,loanavg10,loans11,enroll11,loanavg11,loans12,enroll12,loanavg12,loans13,enroll13,loanavg13,loans14,enroll14,loanavg14
176947,Central Methodist University,2,266919,1051,253.97,11187996,1176,9514,12404690,1172,10584,14668635,1173,12505,14817004,1107,13385
177579,Hickey College,3,383231,480,798.4,4166447,461,9038,3754658,500,7509,3395336,396,8574,3553167,372,9552
178004,Lutheran School of Nursing,3,0,160,0,1032614,143,7221,1153827,153,7541,1322038,178,7427,1473571,209,7051
176628,Avila University,2,0,1151,0,8393465,1222,6869,8210563,1219,6735,9033435,1325,6818,9511453,1401,6789
177144,Culver-Stockton College,2,4239406,754,5622.55,4662471,771,6047,4379856,752,5824,4750204,769,6177,5313118,830,6401
179256,Saint Louis Christian College,2,17185,333,51.61,1748940,337,5190,1708633,292,5851,1484464,246,6034,1497652,245,6113
177339,Evangel University,2,15972,1735,9.21,10561862,1770,5967,11667765,1897,6151,11367945,1879,6050,12327699,2077,5935
177065,Columbia College,2,4136879,14705,281.32,95739699,16075,5956,104557263,17229,6069,104326483,16940,6159,94550420,15998,5910
179548,Stephens College,2,1884907,967,1949.23,4733856,864,5479,4096467,783,5232,4259389,673,6329,3755391,647,5804
177746,Kansas City Art Institute,2,0,690,0,4304012,739,5824,4150627,771,5383,4623038,822,5624,4246020,739,5746
177418,Fontbonne University,2,5662618,1943,2914.37,12509808,1689,7407,9562319,1500,6375,7951078,1342,5925,7068384,1328,5323
177968,Lindenwood University,2,1270479,6788,187.17,43334486,7596,5705,44906639,7814,5747,45078639,8296,5434,44181063,8453,5227
179894,Webster University,2,14476673,3911,3701.53,22028776,3747,5879,19829505,3686,5380,19423365,3502,5546,18062330,3528,5120
179955,William Jewell College,2,3750,1083,3.46,5048247,1060,4762,5163105,1060,4871,5338183,1052,5074,5205643,1044,4986
178059,Maryville University of Saint Louis,2,19808382,2934,6751.32,16141267,2968,5438,16293444,3035,5369,15890886,2980,5333,13896341,2829,4912
178369,Missouri Valley College,2,76035,1789,42.5,7766891,1790,4339,7561260,1759,4299,8008360,1671,4793,7954732,1656,4804
177940,Lincoln University,1,94949,3116,30.47,13902000,3159,4401,15010754,3192,4703,13577269,3013,4506,13382638,2892,4627
177214,Drury University,2,242898,4971,48.86,21325891,5092,4188,21635426,4885,4429,19738987,4775,4134,19219972,4231,4543
176965,University of Central Missouri,1,49738292,9088,5472.96,41072193,9168,4480,45024615,9466,4756,46217986,9683,4773,44446897,9974,4456
179964,William Woods University,2,865605,1100,786.91,5181113,1130,4585,4775716,1046,4566,4454848,1079,4129,4373116,1002,4364
176664,Baptist Bible College,2,0,481,0,1911935,462,4138,1849054,420,4403,1473269,321,4590,1300868,305,4265
178624,Northwest Missouri State University,1,26630865,6051,4401.07,24404604,6193,3941,25704617,6281,4092,24724321,6014,4111,23089506,5542,4166
179946,Westminster College,2,6665,1087,6.13,4254824,1167,3646,4377503,1116,3922,4356343,1092,3989,4113573,1026,4009
177117,Cottey College,2,0,309,0,938292,307,3056,1154824,323,3575,1204455,292,4125,1107052,277,3997
177542,Hannibal-LaGrange University,2,378903,1022,370.75,4898414,1176,4165,5201724,1151,4519,5464757,1208,4524,4722449,1198,3942
178341,Missouri Southern State University,1,19888530,5639,3526.96,21195117,5751,3685,22337156,5536,4035,22073320,5351,4125,21855725,5587,3912
179326,Southwest Baptist University,2,136950,2924,46.84,11824405,2942,4019,11829244,2872,4119,11918982,3009,3961,11543407,2962,3897
178402,University of Missouri _ Kansas City,1,101615207,9381,10832.02,42805585,9850,4346,42910635,10122,4239,41546399,10614,3914,39504242,10227,3863
